feature_id,parent_feature,classification,route_type,web_route,mobile_kind,mobile_destination,mobile_exception,label_es,label_en,synonyms_es,synonyms_en,keywords,navigation_group,breadcrumb,authentication,roles,modules,actions,route_action,record_scope,maturity,feature_flag,global_menu,quick_create,favorite_eligible,pin_eligible,recent_behavior,telemetry_id,access_request_eligible,interface_expected,technical,searchable
directory.admin,directory.search,primary-destination,primary,/admin/directorio,web-only,,Administrative evidence review uses the responsive web control surface and is intentionally excluded from the native client.,Moderación del directorio,Directory moderation,reclamos de perfiles|verificaciones|anuncios reportados,profile claims|verifications|reported classifieds,directory|moderation|claims|verification|reports,admin,directory.search,authenticated,Admin,Admin,discover|view|administer,view,admin-audited-review,stable,,true,,true,true,record,directory.admin,false,true,false,true
community,,primary-destination,primary,/fans,native,/(tabs)/social,,Comunidad,Community,fans|clubes,fans|clubs,fan|community|club,people,,optional,,,discover|view|create|edit|delete,view,none,stable,,true,,true,true,feature,community,false,true,false,true
community.club,community,record-detail-contextual-action,contextual,/fans/clubs/:artistId,native-contextual,/artistDetail,,Club de fans,Fan club,club|fans del artista,club|artist fans,fanclub|artist,people,community,optional,,,discover|view|create|edit|delete,view,none,stable,,false,,false,false,record,community.club,false,true,false,true
community.member,community.club,record-detail-contextual-action,contextual,/fans/clubs/:artistId/members/:partyId,web-only,,No native equivalent yet.,Perfil de miembro,Member profile,miembro del club,club member,member|profile,people,community > community.club,authenticated,,,discover|view,view,none,stable,,false,,false,false,record,community.member,false,true,false,true
artist.public,community,record-detail-contextual-action,contextual,/artista/:slugOrId,native-contextual,/artistDetail,,Perfil público de artista,Public artist profile,artista|perfil,artist|profile,artist|public,people,community,public,,,discover|view,view,none,stable,,false,,false,false,record,artist.public,false,true,false,true
artist.onboarding,artist.public,important-submodule,important-submodule,/artista/crear,native,/createArtistProfile,,Crear perfil de artista,Create artist profile,alta artista,artist onboarding,artist|onboarding|create,people,community,optional,,,discover|view|create,create,none,stable,,false,,true,true,feature,artist.onboarding,true,true,false,true
marketplace,,primary-destination,primary,/marketplace,external-web,https://tdf-app.pages.dev/marketplace,Native commerce catalog is not implemented; secure checkout remains web based.,Tienda,Marketplace,marketplace|tienda,store|shop,commerce|orders|products,people,,optional,,,discover|view|create|edit|delete,view,none,stable,,true,,true,true,feature,marketplace,false,true,false,true
marketplace.order-tracking,marketplace,record-detail-contextual-action,contextual,/marketplace/orden/:orderId,external-web,,Order links are opened contextually from confirmations.,Seguimiento de orden,Order tracking,pedido|orden,order|shipment,order|tracking,people,marketplace,public,,,discover|view,view,none,stable,,false,,false,false,record,marketplace.order-tracking,false,true,false,true
service.mixing-mastering,marketplace,important-submodule,important-submodule,/mezcla-mastering,external-web,,Quote intake remains web based.,Mezcla y mastering,Mixing and mastering,mezcla|masterización,mixing|mastering,audio|service,people,marketplace,public,,,discover|view,view,none,stable,,false,,true,true,feature,service.mixing-mastering,false,true,false,true
bookings.public,,primary-destination,primary,/reservar,native,/(tabs)/bookings,,Reservar estudio,Book the studio,reserva|reservación|reservacion|agendar,booking|schedule,booking|studio|room,people,,public,,,discover|view|create,view,none,stable,,true,,true,true,feature,bookings.public,false,true,false,true
bookings.public-order-tracking,bookings.public,record-detail-contextual-action,contextual,/reservas/orden/:bookingId,external-web,,Secure guest tracking links are opened contextually from booking confirmations.,Seguimiento de reserva,Booking tracking,reserva|pago de reserva,booking|booking payment,booking|checkout|tracking,people,bookings.public,public,,,view|create,view,none,stable,,false,,false,false,record,bookings.public-order-tracking,false,true,false,true
bookings.dj-booth,bookings.public,important-submodule,important-submodule,/dj-booth,native,/(tabs)/bookings,,Reservar DJ booth,Book DJ booth,cabina dj,dj booth,dj|booking,people,bookings.public,public,,,discover|view,view,none,stable,,false,,true,true,feature,bookings.dj-booth,false,true,false,true
public.trials,,important-submodule,important-submodule,/trials,external-web,,Public trial scheduling is currently web based.,Agenda de pruebas,Trial lessons,clase de prueba,trial class,trial|lesson,people,,public,,,discover|view|create|edit|delete,view,none,stable,,true,,true,true,feature,public.trials,false,true,false,true
public.live-session-registration,,important-submodule,important-submodule,/live-sessions/registro,external-web,,File-heavy intake is web based.,Registro live sessions,Live sessions registration,registro en vivo,live intake,live|session|registration,people,,public,,,discover|view|create,view,none,stable,,true,,true,true,feature,public.live-session-registration,false,true,false,true
public.records,,primary-destination,primary,/records,external-web,,The native app exposes releases through artist profiles.,Lanzamientos públicos,Public releases,música|discos,music|records,release|music|catalog,people,,public,,,discover|view,view,none,stable,,true,,true,true,feature,public.records,false,true,false,true
public.donations,,primary-destination,primary,/donar,external-web,https://tdf-app.pages.dev/donar,,Donaciones,Donations,donar|apoyar,donate|support,donation|support,people,,public,,,discover|view,view,none,stable,,true,,true,true,feature,public.donations,false,true,false,true
public.domo,,primary-destination,primary,/domo-del-pululahua,external-web,https://tdf-app.pages.dev/domo-del-pululahua,,Domo Pululahua,Pululahua Dome,domo|venue,dome|venue,domo|pululahua|venue,people,,public,,,discover|view,view,none,stable,,true,,true,true,feature,public.domo,false,true,false,true
public.domo-quote,public.domo,record-detail-contextual-action,contextual,/domo-del-pululahua/cotizaciones/:quoteId,web-only,,The Domo guest lookup token is intentionally device-scoped; mobile has generated API types but no equivalent secure quote/deposit screen yet.,Cotización del Domo,Domo quote,reserva Domo|depósito Domo,Domo booking|Domo deposit,domo|quote|deposit|payment|tracking,people,public.domo,public,,,discover|view|create,view,none,beta,commerce.domo_quotes,false,,false,false,record,public.domo-quote,false,true,false,true
profile.detail,community,record-detail-contextual-action,contextual,/perfil/:partyId,native-contextual,/userProfile,,Perfil,Profile,contacto|persona,contact|person,profile|party,people,community,authenticated,,,discover|view,view,none,stable,,false,,false,false,record,profile.detail,true,true,false,true
social,,primary-destination,primary,/social,native,/(tabs)/social,,Conexiones,Connections,social|amigos,social|friends,social|connections|vcard,people,,authenticated,,,discover|view|create|delete,view,none,stable,,true,,true,true,feature,social,true,true,false,true
social.instagram,social,important-submodule,important-submodule,/social/instagram,web-only,,Provider OAuth administration is intentionally web only.,Instagram,Instagram,meta|ig,meta|ig,instagram|oauth,people,social,authenticated,,,discover|view|administer,view,none,stable,,true,,true,true,feature,social.instagram,true,true,false,true
social.vcard,social,important-submodule,important-submodule,,native,/(tabs)/vcard,"On web, vCard exchange is contextual inside Connections.",Intercambio vCard,vCard exchange,vcard|tarjeta|qr,vcard|contact card|qr,vcard|contact|exchange|qr,people,social,authenticated,,,discover|view|create,view,none,stable,,false,,true,true,feature,social.vcard,true,true,false,true
social.inbox,social,primary-destination,primary,/social/inbox,web-only,,Provider message administration requires the wider web workspace.,Inbox social,Social inbox,mensajes|bandeja,messages|inbox,instagram|facebook|whatsapp|inbox,people,social,authenticated,Admin|Manager|StudioManager|Reception|LiveSessionsProducer|Producer|AandR|Webmaster,CRM,discover|view|create,view,none,stable,,true,,true,true,feature,social.inbox,true,true,false,true
social.events,social,primary-destination,primary,/social/eventos,native,/(tabs)/events,,Eventos sociales,Social events,eventos|agenda social,events|social calendar,events|tickets|rsvp,people,social,authenticated,,,discover|view|create|edit|delete|publish,view,none,stable,,true,,true,true,feature,social.events,true,true,false,true
social.events.create,social.events,record-detail-contextual-action,contextual,/social/eventos/nuevo,native,/createEvent,,Nuevo evento,New event,crear evento,create event,event|create,people,social > social.events,authenticated,,,discover|view|create,create,none,stable,,false,create,false,false,feature,social.events.create,true,true,false,true
social.event.detail,social.events,record-detail-contextual-action,contextual,/social/eventos/:eventId,native-contextual,/eventDetail,,Detalle de evento,Event detail,evento,event,event|detail,people,social > social.events,authenticated,,,discover|view,view,none,stable,,false,,false,false,record,social.event.detail,true,true,false,true
social.event.logistics,social.event.detail,record-detail-contextual-action,contextual,/social/eventos/:eventId/logistica,native-contextual,/eventDetail,Native logistics remains embedded in event detail.,Logística del evento,Event logistics,producción|rutas,production|routes,logistics|assignment|route,people,social > social.events > social.event.detail,authenticated,,Scheduling,discover|view|create|edit|delete|assign,view,none,stable,,false,,false,false,record,social.event.logistics,true,true,false,true
social.discovery,social.events,important-submodule,important-submodule,/social/eventos-descubiertos,native,/(tabs)/events,,Eventos descubiertos,Discovered events,descubrimiento|agenda externa,discovery|external events,ticketmaster|discovery|city,people,social > social.events,authenticated,,,discover|view|administer,view,none,beta,EVENT_DISCOVERY_ENABLED,true,,true,true,feature,social.discovery,true,true,false,true
chat,social,primary-destination,primary,/chat,web-only,,Native direct-message screen is not implemented.,Chat,Chat,mensajes directos,direct messages,chat|dm,people,social,authenticated,,,discover|view|create,view,none,stable,,true,,true,true,feature,chat,true,true,false,true
crm.contacts,,primary-destination,primary,/crm/contactos,native,/(tabs)/parties,,Contactos,Contacts,personas|parties|crm,people|parties|crm,contact|party|crm,people,,authenticated,,CRM,discover|view|create|edit|delete|assign|export,view,none,stable,,true,create,true,true,feature,crm.contacts,true,true,false,true
crm.companies,crm.contacts,important-submodule,important-submodule,/crm/empresas,native,/(tabs)/parties,Native company records share the contacts screen.,Empresas,Companies,organizaciones,organizations,company|organization|crm,people,crm.contacts,authenticated,,CRM,discover|view|create|edit,view,none,stable,,true,,true,true,feature,crm.companies,true,true,false,true
crm.leads,crm.contacts,important-submodule,important-submodule,/crm/leads,web-only,,Lead qualification remains web only.,Leads,Leads,prospectos,prospects,lead|sales|crm,people,crm.contacts,authenticated,,CRM,discover|view|create|edit|assign,view,none,stable,,true,,true,true,feature,crm.leads,true,true,false,true
studio.calendar,,primary-destination,primary,/estudio/calendario,native,/(tabs)/bookings,,Calendario,Calendar,reservas|agenda,bookings|schedule,calendar|booking|studio,create,,authenticated,,Scheduling,discover|view|create|edit|delete,view,none,stable,,true,create,true,true,feature,studio.calendar,true,true,false,true
studio.rooms,studio.calendar,important-submodule,important-submodule,/estudio/salas,native,/(tabs)/bookings,Room choice is contextual in mobile bookings.,Salas y recursos,Rooms and resources,salas|estudios,rooms|studios,room|resource,create,studio.calendar,authenticated,,Scheduling,discover|view|create|edit,view,none,stable,,true,,true,true,feature,studio.rooms,true,true,false,true
studio.orders,studio.calendar,primary-destination,primary,/estudio/ordenes,web-only,,Full studio-order editing is not available natively.,Órdenes estudio,Studio orders,órdenes de servicio,service orders,order|service,create,studio.calendar,authenticated,,Scheduling,discover|view|create|edit|approve,view,none,stable,,true,,true,true,feature,studio.orders,true,true,false,true
studio.services,studio.orders,important-submodule,important-submodule,/estudio/servicios,web-only,,Catalog administration is web only.,Servicios,Services,catálogo de servicios,service catalog,service|catalog,create,studio.calendar,authenticated,,Scheduling,discover|view|create|edit|delete,view,none,stable,,true,,true,true,feature,studio.services,true,true,false,true
studio.pipelines,studio.calendar,primary-destination,primary,/estudio/pipelines,native,/(tabs)/pipelines,,Pipelines,Pipelines,kanban|flujos,kanban|workflows,pipeline|kanban|workflow,create,studio.calendar,authenticated,,Scheduling,discover|view|create|edit|delete|assign,view,none,stable,,true,,true,true,feature,studio.pipelines,true,true,false,true
studio.live-sessions,studio.calendar,important-submodule,important-submodule,/estudio/live-sessions,web-only,,Rider and file intake remains web only.,Sesiones en vivo,Live sessions,live sessions|sesiones,live intake|sessions,live|session|intake,create,studio.calendar,authenticated,,Scheduling,discover|view|create|edit,view,none,stable,,true,,true,true,feature,studio.live-sessions,true,true,false,true
studio.domo-campaign,studio.calendar,important-submodule,important-submodule,/estudio/campanas/tdf-sessions-domo,web-only,,Campaign production is web only.,Campaña Domo,Dome campaign,tdf sessions domo,tdf sessions dome,campaign|domo,create,studio.calendar,authenticated,,Scheduling,discover|view|edit,view,none,stable,,true,,true,true,feature,studio.domo-campaign,true,true,false,true
studio.reports,studio.calendar,primary-destination,primary,/estudio/reportes,web-only,,Report authoring/export is web only.,Reportes,Reports,informes|estadísticas,analytics|statements,report|export,create,studio.calendar,authenticated,,Scheduling,discover|view|export|report,view,none,stable,,true,,true,true,feature,studio.reports,true,true,false,true
school.teacher-portal,,primary-destination,primary,/mi-profesor,web-only,,Dedicated native teacher portal is pending.,Portal del profesor,Teacher portal,mis clases,my classes,teacher|portal,create,,authenticated,Teacher|Admin|Manager|StudioManager|Reception,Scheduling,discover|view|create|edit|delete,view,none,stable,,true,,true,true,feature,school.teacher-portal,true,true,false,true
school.teachers,school.teacher-portal,primary-destination,primary,/escuela/profesores,web-only,,Teacher administration is web only.,Profesores,Teachers,docentes,instructors,teacher|school,create,school.teacher-portal,authenticated,Admin|Manager|StudioManager|Reception,Scheduling,discover|view|create|edit,view,none,stable,,true,,true,true,feature,school.teachers,true,true,false,true
school.classes,school.teacher-portal,primary-destination,primary,/escuela/clases,web-only,,Class administration is web only.,Clases,Classes,sesiones de clase,class sessions,class|student|attendance,create,school.teacher-portal,authenticated,Admin|Manager|StudioManager|Reception,Scheduling,discover|view|create|edit,view,none,stable,,true,,true,true,feature,school.classes,true,true,false,true
school.trial-lessons,school.teacher-portal,important-submodule,important-submodule,/escuela/trial-lessons,web-only,,Trial administration is web only.,Clases de prueba,Trial lessons,pruebas|disponibilidad,trials|availability,trial|lesson|availability,create,school.teacher-portal,authenticated,Admin|Manager|StudioManager|Reception,Scheduling,discover|view|create|assign,view,none,stable,,true,,true,true,feature,school.trial-lessons,true,true,false,true
school.trial-queue,school.trial-lessons,important-submodule,important-submodule,/escuela/trial-queue,web-only,,Trial-request review is web only.,Solicitudes de prueba,Trial requests,bandeja de pruebas,trial inbox,trial|queue|assign,create,school.teacher-portal > school.trial-lessons,authenticated,Admin|Manager|StudioManager|Reception,Scheduling,discover|view|assign,view,none,stable,,true,,true,true,feature,school.trial-queue,true,true,false,true
internships,,primary-destination,primary,/practicas,web-only,,Intern time/project management is web only.,Panel de pasantes,Intern portal,prácticas|pasantes,internships|interns,intern|project|hours,create,,authenticated,Intern|Admin|Manager|StudioManager,Internships,discover|view|create|edit|delete|approve,view,none,stable,,true,,true,true,feature,internships,true,true,false,true
label.artists,,primary-destination,primary,/label/artistas,native,/(tabs)/events,Native artist discovery is contextual to events and profiles.,Artistas,Artists,roster|catálogo,roster|catalog,artist|label|roster,label,,authenticated,Admin|StudioManager|Webmaster,Admin,discover|view|create|edit|delete|report,view,none,stable,,true,,true,true,feature,label.artists,true,true,false,true
label.projects,label.artists,primary-destination,primary,/label/proyectos,web-only,,Project planning is web only.,Proyectos,Projects,proyectos de sello,label projects,project|label,label,label.artists,authenticated,Admin|Webmaster,Admin,discover|view|create|edit|assign,view,none,stable,,true,,true,true,feature,label.projects,true,true,false,true
label.releases,label.artists,primary-destination,primary,/label/releases,external-web,,Native release creation is not implemented; artist releases remain viewable contextually.,Lanzamientos,Releases,discos|singles|álbumes,records|singles|albums,release|catalog|music,label,label.artists,authenticated,Admin|StudioManager,Admin,discover|view|create|edit|delete|publish|export,view,none,stable,,true,create,true,true,feature,label.releases,true,true,false,true
label.assets,label.releases,important-submodule,important-submodule,/label/assets,web-only,,Asset upload/preview is web only.,Activos,Assets,archivos|masters,files|masters,asset|file|master,label,label.artists > label.releases,authenticated,Admin|Manager|StudioManager|Webmaster|Maintenance,Ops,discover|view|create|edit|delete,view,none,stable,,true,,true,true,feature,label.assets,true,true,false,true
label.tracks,label.releases,important-submodule,important-submodule,/label/tracks,web-only,,Track management is web only.,Pistas,Tracks,canciones|masters,songs|masters,track|song,label,label.artists > label.releases,authenticated,Artist|Artista|Admin,,discover|view|create|edit|delete,view,none,stable,,true,,true,true,feature,label.tracks,true,true,false,true
label.ddex.inbox,,primary-destination,primary,/label/ddex,native,/ddex,,DDEX / Bandeja,DDEX / Inbox,ddex|ern|bandeja ddex|importar ddex|validar ddex,ddex|ern|ddex inbox|import ddex|validate ddex,DDEX|ERN|import|validation,label,,authenticated,,Catalog,discover|view|import|validate|export,view,none,beta,,true,import,true,true,feature,label.ddex.inbox,true,true,false,true
label.ddex.document,label.ddex.inbox,record-detail-contextual-action,contextual,/label/ddex/documents/:id,native-contextual,/ddex/document/[id],,Documento DDEX,DDEX document,detalle ern|validación,ern detail|validation,DDEX|document|validation,label,label.ddex.inbox,authenticated,,Catalog,discover|view|validate,view,none,stable,,false,,false,false,record,label.ddex.document,true,true,false,true
label.ddex.import,label.ddex.document,record-detail-contextual-action,contextual,/label/ddex/documents/:id/import,security-concealed,,The import engine and conflict resolution are not implemented; the inbox explains this limitation.,Importar DDEX,Import DDEX,plan de importación,import plan,DDEX|import|conflict,label,label.ddex.inbox > label.ddex.document,authenticated,Admin|Manager|StudioManager|LabelRep|AandR,Catalog,discover|view|import|approve,import,none,incomplete,,false,,false,false,record,label.ddex.import,true,true,false,true
label.ddex.partners,label.ddex.inbox,important-submodule,important-submodule,/label/ddex/partners,native,/ddex/partners,,DDEX / Partners,DDEX / Partners,socios ddex|dpid,ddex partners|dpid,DDEX|partner|DPID,label,label.ddex.inbox,authenticated,Admin|StudioManager|LabelRep|AandR,Catalog,discover|view|create|edit|delete|administer,view,none,beta,,false,,true,true,feature,label.ddex.partners,true,true,false,true
operations.control-center,,primary-destination,primary,/dashboard/operations,native,/operations,,Centro de operaciones,Operations center,bandeja operativa|control administrativo|notificaciones,operational inbox|admin control|notifications,operations|inbox|sla|kanban|alerts,operate,,authenticated,Admin|Manager|StudioManager|Accounting|Reception|Teacher|Engineer|LiveSessionsProducer|Producer|AandR|Maintenance|ReadOnly,,discover|view|create|edit|assign|approve|administer,view,organization-branch-role-assignment,stable,operations_enabled,true,,true,true,feature,operations.control-center,true,true,false,true
operations.inventory,,primary-destination,primary,/operacion/inventario,native,/(tabs)/inventory,,Inventario,Inventory,equipos|activos,equipment|assets,inventory|equipment|maintenance,operate,,authenticated,Admin|Manager|StudioManager|Webmaster|Maintenance,,discover|view|create|edit|delete|assign|report,view,none,stable,,true,,true,true,feature,operations.inventory,true,true,false,true
operations.marketplace-orders,marketplace,primary-destination,primary,/operacion/ordenes-marketplace,web-only,,Order operations and refunds are web only.,Órdenes tienda,Store orders,pedidos marketplace,marketplace orders,marketplace|order|refund,operate,marketplace,authenticated,Admin|Manager|StudioManager|Webmaster|Maintenance,,discover|view|create|edit|delete|approve|export,view,none,stable,,true,,true,true,feature,operations.marketplace-orders,true,true,false,true
operations.equipment-bookings,operations.inventory,important-submodule,important-submodule,/operacion/reservas-equipo,native,/(tabs)/inventory,Equipment reservations are contextual in native inventory.,Reservas equipo,Equipment bookings,préstamos equipo,equipment loans,equipment|reservation|checkout,operate,operations.inventory,authenticated,Admin|Manager|StudioManager|Webmaster|Maintenance,,discover|view|create|edit,view,none,stable,,true,,true,true,feature,operations.equipment-bookings,true,true,false,true
finance.payments,,primary-destination,primary,/finanzas/pagos,web-only,,Financial operations are intentionally web only.,Pagos,Payments,finanzas|cobros,finance|collections,payment|invoice|finance,operate,,authenticated,,Invoicing,discover|view|create|edit|export|report,view,none,stable,,true,,true,true,feature,finance.payments,true,true,false,true
finance.account-report-builder,finance.payments,important-submodule,important-submodule,/finanzas/creador-reporte-cuenta,web-only,,PDF/report authoring is web only.,Creador de reportes,Report builder,reporte de cuenta,account report,report|account|export,operate,finance.payments,authenticated,,Invoicing,discover|view|report|export,view,none,stable,,true,,true,true,feature,finance.account-report-builder,true,true,false,true
finance.esteban-report,finance.payments,important-submodule,important-submodule,/finanzas/reporte-esteban-munoz,web-only,,Named financial report is web only.,Reporte Esteban,Esteban report,reporte promoción,promotion report,report|artist|promotion,operate,finance.payments,authenticated,,Invoicing,discover|view|report|export,view,none,stable,,true,,true,true,feature,finance.esteban-report,true,true,false,true
finance.david-report,finance.payments,important-submodule,important-submodule,/finanzas/reporte-david-celaya,web-only,,Named financial report is web only.,Reporte David,David report,reporte cuenta,account report,report|account,operate,finance.payments,authenticated,,Invoicing,discover|view|report|export,view,none,stable,,true,,true,true,feature,finance.david-report,true,true,false,true
admin.catalogs,,primary-destination,primary,/configuracion/catalogos,native,/catalogs,,Catálogos,Catalogs,datos maestros|listas administrables,master data|managed lists,catalog|taxonomy|reference-data,admin,,authenticated,Admin,Catalog,discover|view|create|edit|deactivate|import|export|submit|approve|reject|publish|administer,view,none,stable,,true,,true,true,feature,admin.catalogs,false,true,false,true
admin.catalogs.radio-auto-stop,admin.catalogs,important-submodule,important-submodule,/configuracion/catalogos/radio-auto-stop,web-only,,This specialized editor is currently available in web catalog administration.,Parada automática de radio,Radio auto-stop,radio|límite de reproducción,radio|playback limit,catalog|radio|auto-stop,admin,admin.catalogs,authenticated,Admin,Catalog,discover|view|edit,view,none,stable,,false,,true,true,feature,admin.catalogs.radio-auto-stop,true,true,false,true
admin.catalogs.appearance,admin.catalogs,important-submodule,important-submodule,/configuracion/catalogos/apariencia,web-only,,This specialized editor is currently available in web catalog administration.,Apariencia,Appearance,tema|modo de color,theme|color mode,catalog|appearance|theme,admin,admin.catalogs,authenticated,Admin,Catalog,discover|view|edit,view,none,stable,,false,,true,true,feature,admin.catalogs.appearance,true,true,false,true
admin.catalogs.feedback,admin.catalogs,important-submodule,important-submodule,/configuracion/catalogos/feedback,web-only,,This specialized editor is currently available in web catalog administration.,Catálogos de feedback,Feedback catalogs,categorías de feedback|severidades,feedback categories|severities,catalog|feedback|severity,admin,admin.catalogs,authenticated,Admin,Catalog,discover|view|edit,view,none,stable,,false,,true,true,feature,admin.catalogs.feedback,true,true,false,true
admin.catalogs.reactions,admin.catalogs,important-submodule,important-submodule,/configuracion/catalogos/reacciones,web-only,,This specialized editor is currently available in web catalog administration.,Reacciones,Reactions,reacciones sociales,social reactions,catalog|reaction|social,admin,admin.catalogs,authenticated,Admin,Catalog,discover|view|edit,view,none,stable,,false,,true,true,feature,admin.catalogs.reactions,true,true,false,true
admin.catalogs.content-reactions,admin.catalogs,important-submodule,important-submodule,/configuracion/catalogos/reacciones-contenido,web-only,,This specialized editor is currently available in web catalog administration.,Reacciones de contenido,Content reactions,reacciones editoriales,editorial reactions,catalog|reaction|content,admin,admin.catalogs,authenticated,Admin,Catalog,discover|view|edit,view,none,stable,,false,,true,true,feature,admin.catalogs.content-reactions,true,true,false,true
admin.catalogs.creator-badges,admin.catalogs,important-submodule,important-submodule,/configuracion/catalogos/insignias-creadores,web-only,,This specialized editor is currently available in web catalog administration.,Insignias de creadores,Creator badges,badges de creadores,creator labels,catalog|creator|badge,admin,admin.catalogs,authenticated,Admin,Catalog,discover|view|edit,view,none,stable,,false,,true,true,feature,admin.catalogs.creator-badges,true,true,false,true
admin.course-registrations,,primary-destination,primary,/configuracion/inscripciones-curso,web-only,,Registration review is web only.,Inscripciones de cursos,Course registrations,matrículas|registros,enrollments|registrations,course|registration|enrollment,admin,,authenticated,,Admin,discover|view|create|edit|delete|approve|export,view,none,stable,,true,,true,true,feature,admin.course-registrations,true,true,false,true
admin.courses,admin.course-registrations,important-submodule,important-submodule,/configuracion/cursos,web-only,,Course authoring is web only.,Cursos,Courses,constructor de cursos,course builder,course|builder|publish,admin,admin.course-registrations,authenticated,,Admin,discover|view|create|edit|publish,view,none,stable,,true,,true,true,feature,admin.courses,true,true,false,true
admin.users,,primary-destination,primary,/configuracion/usuarios-admin,security-concealed,,Sensitive user administration is concealed on mobile.,Usuarios admin,Admin users,usuarios|cuentas,users|accounts,user|account|role,admin,,authenticated,Admin,Admin,discover|view|create|edit|delete|deactivate|administer,view,none,stable,,true,,true,true,feature,admin.users,false,true,false,true
admin.roles,admin.users,primary-destination,primary,/configuracion/roles-permisos,security-concealed,,Sensitive authorization management is concealed on mobile.,Roles y permisos,Roles and permissions,accesos|rbac,access|rbac,role|permission|module,admin,admin.users,authenticated,Admin,Admin,discover|view|edit|administer,view,none,stable,,true,,true,true,feature,admin.roles,false,true,false,true
admin.system-status,,important-submodule,important-submodule,/configuracion/estado,web-only,,Operational status is web only.,Estado sistema,System status,salud|status,health|status,health|system|status,admin,,authenticated,,Admin,discover|view,view,none,stable,,true,,true,true,feature,admin.system-status,true,true,false,true
admin.activity,admin.system-status,important-submodule,important-submodule,/configuracion/actividad,web-only,,Audit activity is web only.,Actividad,Activity,auditoría,audit,activity|audit,admin,admin.system-status,authenticated,,Admin,discover|view|export,view,none,stable,,true,,true,true,feature,admin.activity,true,true,false,true
admin.logs,admin.system-status,important-submodule,important-submodule,/configuracion/logs,web-only,,Logs are web only.,Logs,Logs,registros|errores,records|errors,log|error|diagnostic,admin,admin.system-status,authenticated,,Admin,discover|view|delete,view,none,stable,,true,,true,true,feature,admin.logs,true,true,false,true
admin.diagnostics,admin.system-status,important-submodule,important-submodule,/admin/diagnosticos,web-only,,Diagnostics are web only.,Diagnósticos,Diagnostics,diagnóstico técnico,technical diagnostics,diagnostic|system,admin,admin.system-status,authenticated,,Admin,discover|view|administer,view,none,stable,,true,,true,true,feature,admin.diagnostics,true,true,false,true
