method,path,authentication_boundary,mapped_feature_id,mapped_action,action_rule_present,interface_disposition,authorization_evidence,source_aliases,source
GET,/catalog/authored-contents,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/batch,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/content-types,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/definitions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/revisions/{revisionId}/approve,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/revisions/{revisionId}/reject,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/revisions/{revisionId}/submit,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/security/audit,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/security/party-role-assignments,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/party-role-revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/security/revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/revisions/{revisionId}/approve,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/revisions/{revisionId}/reject,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/revisions/{revisionId}/submit,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/role-permission-revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/security/roles,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/workflow-states,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/ddex/references,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
DELETE,/directory/favorites/{targetKind}/{targetId},authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/label/project-notes,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
POST,/label/project-notes,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
DELETE,/label/project-notes/{id},authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
PATCH,/label/project-notes/{id},authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > LabelAPI,tdf-hq/src/TDF/API/Label.hs:11
GET,/public/domo,public-root,,,false,API-only pending explicit product/security disposition,public route; handler validation/signature/rate-limit review still required,API > PublicDomoQuotesAPI,tdf-hq/src/TDF/Routes/DomoQuotes.hs:123
GET,/public/events/{eventId}/tickets,public-root,,,false,API-only pending explicit product/security disposition,public route; handler validation/signature/rate-limit review still required,API > PublicEventTicketsAPI,tdf-hq/src/TDF/Routes/EventTickets.hs:130
GET,/records/feed,public-root,,,false,API-only pending explicit product/security disposition,public route; handler validation/signature/rate-limit review still required,API > PublicCatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:69
GET,/reviews/{targetKind}/{targetId},public-root,,,false,API-only pending explicit product/security disposition,public route; handler validation/signature/rate-limit review still required,API > ReviewsPublicAPI,tdf-hq/src/TDF/API/Reviews.hs:36
GET,/reviews/eligibility,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ReviewsProtectedAPI,tdf-hq/src/TDF/API/Reviews.hs:44
PUT,/social-events/event-research/candidates,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > SocialEventsAPI > EventResearchRoutes,tdf-hq/src/TDF/API/EventResearchAPI.hs:10
PUT,/social-events/event-research/runs/{runId},authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > SocialEventsAPI > EventResearchRoutes,tdf-hq/src/TDF/API/EventResearchAPI.hs:10
