feature_id,classification,web_route,web_aliases,mobile_kind,mobile_destination,mobile_aliases,parent_feature,breadcrumb,global_discovery,discovery_mechanism,maximum_interactions,contextual_only,technical_hidden
school.classes,primary-destination,/escuela/clases,,web-only,,,school.teacher-portal,school.teacher-portal,true,global-menu,1,false,false
school.trial-lessons,important-submodule,/escuela/trial-lessons,,web-only,,,school.teacher-portal,school.teacher-portal,true,global-menu,1,false,false
school.trial-queue,important-submodule,/escuela/trial-queue,,web-only,,,school.trial-lessons,school.teacher-portal > school.trial-lessons,true,global-menu,1,false,false
internships,primary-destination,/practicas,,web-only,,,,,true,global-menu,1,false,false
label.artists,primary-destination,/label/artistas,/label,native,/(tabs)/events,,,,true,global-menu,1,false,false
label.projects,primary-destination,/label/proyectos,,web-only,,,label.artists,label.artists,true,global-menu,1,false,false
label.releases,primary-destination,/label/releases,,external-web,,,label.artists,label.artists,true,global-menu,1,false,false
label.assets,important-submodule,/label/assets,,web-only,,,label.releases,label.artists > label.releases,true,global-menu,1,false,false
label.tracks,important-submodule,/label/tracks,,web-only,,,label.releases,label.artists > label.releases,true,global-menu,1,false,false
label.ddex.inbox,primary-destination,/label/ddex,,native,/ddex,,,,true,global-menu,1,false,false
label.ddex.document,record-detail-contextual-action,/label/ddex/documents/:id,,native-contextual,/ddex/document/[id],,label.ddex.inbox,label.ddex.inbox,false,command-palette-or-mobile-explorer,2,true,false
label.ddex.import,record-detail-contextual-action,/label/ddex/documents/:id/import,,security-concealed,,,label.ddex.document,label.ddex.inbox > label.ddex.document,false,command-palette-or-mobile-explorer,2,true,false
label.ddex.partners,important-submodule,/label/ddex/partners,,native,/ddex/partners,,label.ddex.inbox,label.ddex.inbox,false,command-palette-or-mobile-explorer,2,false,false
operations.inventory,primary-destination,/operacion/inventario,/operacion,native,/(tabs)/inventory,,,,true,global-menu,1,false,false
operations.marketplace-orders,primary-destination,/operacion/ordenes-marketplace,,web-only,,,marketplace,marketplace,true,global-menu,1,false,false
operations.equipment-bookings,important-submodule,/operacion/reservas-equipo,,native,/(tabs)/inventory,,operations.inventory,operations.inventory,true,global-menu,1,false,false
finance.payments,primary-destination,/finanzas/pagos,/finanzas,web-only,,,,,true,global-menu,1,false,false
finance.account-report-builder,important-submodule,/finanzas/creador-reporte-cuenta,,web-only,,,finance.payments,finance.payments,true,global-menu,1,false,false
finance.esteban-report,important-submodule,/finanzas/reporte-esteban-munoz,,web-only,,,finance.payments,finance.payments,true,global-menu,1,false,false
finance.david-report,important-submodule,/finanzas/reporte-david-celaya,,web-only,,,finance.payments,finance.payments,true,global-menu,1,false,false
admin.course-registrations,primary-destination,/configuracion/inscripciones-curso,,web-only,,,,,true,global-menu,1,false,false
admin.courses,important-submodule,/configuracion/cursos,,web-only,,,admin.course-registrations,admin.course-registrations,true,global-menu,1,false,false
admin.users,primary-destination,/configuracion/usuarios-admin,,security-concealed,,,,,true,global-menu,1,false,false
admin.roles,primary-destination,/configuracion/roles-permisos,/admin/roles,security-concealed,,,admin.users,admin.users,true,global-menu,1,false,false
admin.system-status,important-submodule,/configuracion/estado,,web-only,,,,,true,global-menu,1,false,false
admin.activity,important-submodule,/configuracion/actividad,,web-only,,,admin.system-status,admin.system-status,true,global-menu,1,false,false
admin.logs,important-submodule,/configuracion/logs,,web-only,,,admin.system-status,admin.system-status,true,global-menu,1,false,false
admin.diagnostics,important-submodule,/admin/diagnosticos,,web-only,,,admin.system-status,admin.system-status,true,global-menu,1,false,false
admin.brain,important-submodule,/configuracion/brain,,web-only,,,admin.system-status,admin.system-status,true,global-menu,1,false,false
admin.calendar-integration,important-submodule,/configuracion/integraciones/calendario,,security-concealed,,,admin.system-status,admin.system-status,true,global-menu,1,false,false
admin.cms,primary-destination,/configuracion/cms,,web-only,,,,,true,global-menu,1,false,false
admin.campaign-automations,important-submodule,/configuracion/campanas-automaticas,,web-only,,,admin.cms,admin.cms,true,global-menu,1,false,false
admin.event-sources,important-submodule,/configuracion/fuentes-eventos,,security-concealed,,,social.discovery,social > social.events > social.discovery,true,global-menu,1,false,false
admin.whatsapp-consent,important-submodule,/configuracion/whatsapp-consentimiento,,security-concealed,,,social.inbox,social > social.inbox,true,global-menu,1,false,false
admin.ux-options,important-submodule,/configuracion/opciones-ux,,web-only,,,admin.preferences,admin.preferences,true,global-menu,1,false,false
admin.preferences,primary-destination,/configuracion/preferencias,/configuracion|/system,web-only,,,,,true,global-menu,1,false,false
tools.chatkit,important-submodule,/herramientas/chatkit,,web-only,,,,,true,global-menu,1,false,false
tools.tidal-agent,important-submodule,/herramientas/tidal-agent,,web-only,,,,,true,global-menu,1,false,false
tools.music-maker,primary-destination,/herramientas/creador-musical,,external-web,,,,,true,global-menu,1,false,false
tools.admin-token,important-submodule,/herramientas/token-admin,,security-concealed,,,,,true,global-menu,1,false,false
help.manual,primary-destination,/manual,,native,/about,,,,true,global-menu,1,false,false
help.docs,important-submodule,/docs,,native,/about,,help.manual,help.manual,true,global-menu,1,false,false
help.about,important-submodule,/acerca,,native,/about,/(tabs)/about,help.manual,help.manual,true,global-menu,1,false,false
help.security,important-submodule,/seguridad,,native,/about,,help.manual,help.manual,true,global-menu,1,false,false
help.feedback,important-submodule,/feedback,,native,/about,,help.manual,help.manual,true,global-menu,1,false,false
navigation.quick-create,important-submodule,,,native,/(tabs)/create,,home,home,false,module-landing-context,2,false,false
navigation.explore,important-submodule,,,native,/(tabs)/more,,home,home,false,module-landing-context,2,false,false
profile.self,primary-destination,,,native,/(tabs)/profile,,community,community,false,command-palette-or-mobile-explorer,2,false,false
social.venues,important-submodule,,,native,/venueExplorer,,social.events,social > social.events,true,global-menu,1,false,false
social.venue.detail,record-detail-contextual-action,,,native-contextual,/venueDetail,,social.venues,social > social.events > social.venues,false,command-palette-or-mobile-explorer,2,true,false
social.venue.create,record-detail-contextual-action,,,native-contextual,/createVenue,,social.venues,social > social.events > social.venues,false,command-palette-or-mobile-explorer,2,true,false
artist.profile.edit,record-detail-contextual-action,,,native-contextual,/editArtistProfile,,artist.public,community > artist.public,false,command-palette-or-mobile-explorer,2,true,false
studio.session.input-list,record-detail-contextual-action,,,native-contextual,/input-list/[id],,studio.calendar,studio.calendar,false,command-palette-or-mobile-explorer,2,true,false
social.tickets,important-submodule,,,native,/tickets,,social.events,social > social.events,true,global-menu,1,false,false
social.ticket-checkout,record-detail-contextual-action,,,native-contextual,/ticketCheckout,,social.event.detail,social > social.events > social.event.detail,false,command-palette-or-mobile-explorer,2,true,false
label.contracts.create,important-submodule,,,security-concealed,/contracts/NewContractScreen,,label.projects,label.projects,false,command-palette-or-mobile-explorer,2,false,false
label.contracts.detail,record-detail-contextual-action,,,security-concealed,/contracts/ContractViewScreen,,label.contracts.create,label.projects > label.contracts.create,false,command-palette-or-mobile-explorer,2,true,false
mobile.onboarding,important-submodule,,,native,/onboarding,,public.platform,public.platform,false,module-landing-context,2,false,false
technical.mobile-entry,technical-route,,,technical,/,,technical.auth-login,,false,never-displayed,,false,true
access-requests.mine,primary-destination,/solicitudes-acceso,,native,/access-requests,,,,true,global-menu,1,false,false
access-requests.create,important-submodule,/solicitudes-acceso/nueva,,native,/access-requests/new,,access-requests.mine,access-requests.mine,false,command-palette-or-mobile-explorer,2,false,false
access-requests.review,important-submodule,/solicitudes-acceso/revision,,native,/access-requests/review,,access-requests.mine,access-requests.mine,true,global-menu,1,false,false
technical.auth-login,technical-route,/login,,technical,/auth,,,,false,never-displayed,,false,true
technical.auth-reset,technical-route,/reset,,technical,/auth,,technical.auth-login,,false,never-displayed,,false,true
technical.oauth-google-drive,technical-route,/oauth/google-drive/callback,,technical,,,admin.calendar-integration,,false,never-displayed,,false,true
technical.oauth-instagram,technical-route,/oauth/instagram/callback,,technical,,,social.instagram,,false,never-displayed,,false,true
technical.payment-return,technical-route,/marketplace/pago-datafast,,technical,,,marketplace,,false,never-displayed,,false,true
technical.whatsapp-return,technical-route,/whatsapp/ok,,technical,,,help.feedback,,false,never-displayed,,false,true
technical.inventory-scan,technical-route,/inventario/scan/:token,,technical,,,operations.inventory,,false,never-displayed,,false,true
technical.course-public,record-detail-contextual-action,/curso/:slug,/curso/produccion-musical-dic-2025|/curso/produccion-musical-abr-2026,external-web,,,admin.courses,,false,command-palette-or-mobile-explorer,2,true,false
technical.course-registration,record-detail-contextual-action,/inscripcion/:slug,,external-web,,,technical.course-public,technical.course-public,false,command-palette-or-mobile-explorer,2,true,false
technical.whatsapp-consent-public,record-detail-contextual-action,/whatsapp/consentimiento,,external-web,,,admin.whatsapp-consent,,false,command-palette-or-mobile-explorer,2,true,false
experimental.future-stubs,technical-route,,,technical,,,,,false,never-displayed,,false,true
