method,path,authentication_boundary,mapped_feature_id,mapped_action,action_rule_present,interface_disposition,authorization_evidence,source_aliases,source
PATCH,/admin/courses/{slug}/registrations/{registrationId}/notes,authenticated-root,admin.course-registrations,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
POST,/admin/courses/{slug}/registrations/{registrationId}/receipts,authenticated-root,admin.course-registrations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
DELETE,/admin/courses/{slug}/registrations/{registrationId}/receipts/{receiptId},authenticated-root,admin.course-registrations,delete,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
PATCH,/admin/courses/{slug}/registrations/{registrationId}/receipts/{receiptId},authenticated-root,admin.course-registrations,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
PATCH,/admin/courses/{slug}/registrations/{registrationId}/status,authenticated-root,admin.course-registrations,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
GET,/admin/courses/cohorts,authenticated-root,admin.course-registrations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
GET,/admin/courses/registrations,authenticated-root,admin.course-registrations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
GET,/admin/courses/registrations/{registrationId}/emails,authenticated-root,admin.course-registrations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CoursesAdminAPI,tdf-hq/src/TDF/Routes/Courses.hs:442
GET,/admin/dropdowns/{category},authenticated-root,admin.ux-options,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > DropdownCategoryAPI,tdf-hq/src/TDF/API/Admin.hs:44
POST,/admin/dropdowns/{category},authenticated-root,admin.ux-options,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > DropdownCategoryAPI,tdf-hq/src/TDF/API/Admin.hs:44
PATCH,/admin/dropdowns/{category}/{optionId},authenticated-root,admin.ux-options,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > DropdownCategoryAPI,tdf-hq/src/TDF/API/Admin.hs:44
POST,/admin/email-test,authenticated-root,admin.diagnostics,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI,tdf-hq/src/TDF/API/Admin.hs:163
DELETE,/admin/logs,authenticated-root,admin.logs,delete,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > LogsAPI,tdf-hq/src/TDF/API/Admin.hs:136
GET,/admin/logs,authenticated-root,admin.logs,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > LogsAPI,tdf-hq/src/TDF/API/Admin.hs:136
POST,/admin/rag/refresh,authenticated-root,admin.brain,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > RagAdminAPI,tdf-hq/src/TDF/API/Admin.hs:154
GET,/admin/rag/status,authenticated-root,admin.brain,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > RagAdminAPI,tdf-hq/src/TDF/API/Admin.hs:154
GET,/admin/roles,authenticated-root,admin.roles,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > RolesAPI,tdf-hq/src/TDF/API/Admin.hs:71
POST,/admin/seed,authenticated-root,admin.diagnostics,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI,tdf-hq/src/TDF/API/Admin.hs:163
GET,/admin/services/storefront/orders,authenticated-root,operations.marketplace-orders,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ServiceStorefrontAdminAPI,tdf-hq/src/TDF/API/ServiceStorefront.hs:32
PUT,/admin/services/storefront/orders/{orderId},authenticated-root,operations.marketplace-orders,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ServiceStorefrontAdminAPI,tdf-hq/src/TDF/API/ServiceStorefront.hs:32
GET,/admin/services/storefront/packages,authenticated-root,operations.marketplace-orders,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ServiceStorefrontAdminAPI,tdf-hq/src/TDF/API/ServiceStorefront.hs:32
POST,/admin/services/storefront/packages,authenticated-root,operations.marketplace-orders,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ServiceStorefrontAdminAPI,tdf-hq/src/TDF/API/ServiceStorefront.hs:32
PUT,/admin/services/storefront/packages/{packageId},authenticated-root,operations.marketplace-orders,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ServiceStorefrontAdminAPI,tdf-hq/src/TDF/API/ServiceStorefront.hs:32
GET,/admin/social/errors,authenticated-root,admin.diagnostics,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > SocialAdminAPI,tdf-hq/src/TDF/API/Admin.hs:158
GET,/admin/social/status,authenticated-root,admin.diagnostics,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > SocialAdminAPI,tdf-hq/src/TDF/API/Admin.hs:158
POST,/admin/social/unhold,authenticated-root,admin.diagnostics,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > SocialAdminAPI,tdf-hq/src/TDF/API/Admin.hs:158
GET,/admin/users,authenticated-root,admin.users,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > UsersAPI,tdf-hq/src/TDF/API/Admin.hs:49
POST,/admin/users,authenticated-root,admin.users,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > UsersAPI,tdf-hq/src/TDF/API/Admin.hs:49
GET,/admin/users/{userId},authenticated-root,admin.users,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > UsersAPI,tdf-hq/src/TDF/API/Admin.hs:49
GET,/admin/users/{userId}/communications,authenticated-root,admin.users,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > UserCommunicationsAPI,tdf-hq/src/TDF/API/Admin.hs:57
POST,/admin/users/{userId}/communications/whatsapp,authenticated-root,admin.users,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdminAPI > UserCommunicationsAPI,tdf-hq/src/TDF/API/Admin.hs:57
GET,/ads/{adId}/examples,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/{adId}/examples,authenticated-root,admin.campaign-automations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/ads,authenticated-root,admin.campaign-automations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/assist,public-root,admin.campaign-automations,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > AdsPublicAPI,tdf-hq/src/TDF/API.hs:90
GET,/ads/automation-templates,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
GET,/ads/automations,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/automations,authenticated-root,admin.campaign-automations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/automations/{automationId}/enroll,authenticated-root,admin.campaign-automations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
GET,/ads/automations/{automationId}/enrollments,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/automations/{automationId}/enrollments/{enrollmentId}/status,authenticated-root,admin.campaign-automations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
GET,/ads/automations/{automationId}/preview,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/automations/{automationId}/status,authenticated-root,admin.campaign-automations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
GET,/ads/campaigns,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/campaigns,authenticated-root,admin.campaign-automations,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
GET,/ads/campaigns/{campaignId},authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
GET,/ads/campaigns/{campaignId}/ads,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
GET,/ads/inquiries,authenticated-root,admin.campaign-automations,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > AdsAdminAPI,tdf-hq/src/TDF/API.hs:94
POST,/ads/inquiry,public-root,admin.campaign-automations,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > AdsPublicAPI,tdf-hq/src/TDF/API.hs:90
GET,/api/users,authenticated-root,admin.roles,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > UserRolesAPI,tdf-hq/src/TDF/API.hs:369
GET,/api/users/{userId}/roles,authenticated-root,admin.roles,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > UserRolesAPI,tdf-hq/src/TDF/API.hs:369
GET,/artists,public-root,artist.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > ArtistPublicAPI,tdf-hq/src/TDF/API.hs:396
GET,/artists/{artistId},public-root,artist.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > ArtistPublicAPI,tdf-hq/src/TDF/API.hs:396
GET,/artists/{artistRef}/public,public-root,artist.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > ArtistPublicAPI,tdf-hq/src/TDF/API.hs:396
POST,/artists/me/photo,authenticated-root,artist.profile.edit,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ArtistSecureAPI,tdf-hq/src/TDF/API.hs:464
GET,/artists/me/profile,authenticated-root,artist.public,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ArtistSecureAPI,tdf-hq/src/TDF/API.hs:464
GET,/artists/search,public-root,artist.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > ArtistPublicAPI,tdf-hq/src/TDF/API.hs:396
GET,/assets,authenticated-root,operations.inventory,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
POST,/assets,authenticated-root,operations.inventory,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
DELETE,/assets/{id},authenticated-root,operations.inventory,delete,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
GET,/assets/{id},authenticated-root,operations.inventory,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
PATCH,/assets/{id},authenticated-root,operations.inventory,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
POST,/assets/{id}/checkin,authenticated-root,operations.inventory,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
POST,/assets/{id}/checkout,authenticated-root,operations.inventory,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
GET,/assets/{id}/history,authenticated-root,operations.inventory,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
POST,/assets/{id}/qr,authenticated-root,operations.inventory,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
GET,/assets/qr/{token},authenticated-root,technical.inventory-scan,view,true,documented API-only capability,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
RAW,/assets/serve,public-root,,,false,technical/static/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > AssetsServeAPI,tdf-hq/src/TDF/API.hs:73
POST,/assets/upload,authenticated-root,operations.inventory,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > InventoryAPI,tdf-hq/src/TDF/API/Inventory.hs:306
GET,/bookings,authenticated-root,studio.calendar,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > BookingAPI,tdf-hq/src/TDF/API.hs:317
POST,/bookings,authenticated-root,studio.calendar,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > BookingAPI,tdf-hq/src/TDF/API.hs:317
PUT,/bookings/{bookingId},authenticated-root,studio.calendar,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > BookingAPI,tdf-hq/src/TDF/API.hs:317
POST,/bookings/public,public-root,bookings.public,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > BookingPublicAPI,tdf-hq/src/TDF/API.hs:325
POST,/calendar/v1/auth-url,authenticated-root,admin.calendar-integration,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
GET,/calendar/v1/config,authenticated-root,admin.calendar-integration,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
GET,/calendar/v1/events,authenticated-root,admin.calendar-integration,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
POST,/calendar/v1/sync,authenticated-root,admin.calendar-integration,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
POST,/calendar/v1/tokens,authenticated-root,admin.calendar-integration,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
GET,/catalog/releases,authenticated-root,label.releases,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:14
GET,/catalog/releases/{id},authenticated-root,label.releases,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:14
PATCH,/catalog/releases/{id},authenticated-root,label.releases,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:14
POST,/catalog/releases/{id}/ddex-exports,authenticated-root,label.releases,export,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:14
GET,/chat/threads,authenticated-root,chat,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:145
