surface,route-or-file,source,access-definition,devices,languages,required-states,evidence-status
registered-feature,/mi-tienda,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{""recordScope"":""store-member""},""create"":{""recordScope"":""claimed-or-verified-profile""},""edit"":{""recordScope"":""scoped-store-permission""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/merchSeller"",""documentedException"":""Store application, catalog composition, image moderation, and policy setup remain on responsive web; mobile includes essential fulfillment operations.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"inventoried;runtime coverage pending unless evidence register names exact journey; Operational initial arrival: actual isolated Admin+Customer and Customer sessions, Chromium production bundle320/1280, operational-*-after.json. Denials/redirects recorded per route. Integrated28 affected cases: operational-focused-final.json. Missing local calendar OAuth returns500. Other roles/states/engines/native untested. Manager arrival:198 isolated real-session/PostgreSQL17 cases,320/1280,dbf548172 bundle; zero axe/overflow/pageerror/5xx (evidence/manager-runtime-dbf.json). Other journey states remain separately pending. Additional initial arrival coverage: 19 role fixtures x320/1280 Chromium es-EC, actual isolated session/API; see evidence/remaining-role-arrivals.json. Denials included; actions/other states/native remain untested unless separately evidenced."
registered-feature,/admin/merch,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{""rolesAny"":[""Admin""]},""view"":{""rolesAny"":[""Admin""]},""administer"":{""rolesAny"":[""Admin""],""recordScope"":""all-merch-stores""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""web-only"",""destination"":null,""documentedException"":""Moderation and dual-control settlements remain on responsive web during the pilot.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"inventoried;runtime coverage pending unless evidence register names exact journey; Operational initial arrival: actual isolated Admin+Customer and Customer sessions, Chromium production bundle320/1280, operational-*-after.json. Denials/redirects recorded per route. Integrated28 affected cases: operational-focused-final.json. Missing local calendar OAuth returns500. Other roles/states/engines/native untested. Manager arrival:198 isolated real-session/PostgreSQL17 cases,320/1280,dbf548172 bundle; zero axe/overflow/pageerror/5xx (evidence/manager-runtime-dbf.json). Other journey states remain separately pending. Additional initial arrival coverage: 19 role fixtures x320/1280 Chromium es-EC, actual isolated session/API; see evidence/remaining-role-arrivals.json. Denials included; actions/other states/native remain untested unless separately evidenced."
registered-feature,/mezcla-mastering,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":null,""documentedException"":""Quote intake remains web based.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/reservar,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{},""create"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/(tabs)/bookings"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/reservas/orden/:bookingId,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""view"":{},""create"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":null,""documentedException"":""Secure guest tracking links are opened contextually from booking confirmations.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/dj-booth,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/(tabs)/bookings"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/trials,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{},""create"":{},""edit"":{""recordScope"":""registration-token-or-staff""},""delete"":{""recordScope"":""registration-token-or-staff""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":null,""documentedException"":""Public trial scheduling is currently web based.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/live-sessions/registro,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{},""create"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":null,""documentedException"":""File-heavy intake is web based.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/records,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":null,""documentedException"":""The native app exposes releases through artist profiles.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/donar,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":""https://tdf-app.pages.dev/donar"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/domo-del-pululahua,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""external-web"",""destination"":""https://tdf-app.pages.dev/domo-del-pululahua"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"Observed public arrival: Chromium production bundle, isolated actual backend/PostgreSQL17, es-EC,320/1280px; final84-case evidence/public-runtime-final.json: zero axe violations, horizontal overflow, page errors or HTTP5xx. Other roles/states/languages/native remain untested unless separately evidenced."
registered-feature,/domo-del-pululahua/cotizaciones/:quoteId,tdf-hq/assets/feature-registry.json,"{""auth"":""public"",""permissions"":{""discover"":{},""view"":{""recordScope"":""guest-capability""},""create"":{""recordScope"":""guest-capability""}},""scope"":""none"",""flag"":""commerce.domo_quotes"",""mobile"":{""kind"":""web-only"",""destination"":null,""documentedException"":""The Domo guest lookup token is intentionally device-scoped; mobile has generated API types but no equivalent secure quote/deposit screen yet.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/perfil/:partyId,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native-contextual"",""destination"":""/userProfile"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/social,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{},""create"":{""recordScope"":""authenticated-party""},""delete"":{""recordScope"":""authenticated-party""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/(tabs)/social"",""documentedException"":null}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"inventoried;runtime coverage pending unless evidence register names exact journey; Operational initial arrival: actual isolated Admin+Customer and Customer sessions, Chromium production bundle320/1280, operational-*-after.json. Denials/redirects recorded per route. Integrated28 affected cases: operational-focused-final.json. Missing local calendar OAuth returns500. Other roles/states/engines/native untested. Manager arrival:198 isolated real-session/PostgreSQL17 cases,320/1280,dbf548172 bundle; zero axe/overflow/pageerror/5xx (evidence/manager-runtime-dbf.json). Other journey states remain separately pending. Additional initial arrival coverage: 19 role fixtures x320/1280 Chromium es-EC, actual isolated session/API; see evidence/remaining-role-arrivals.json. Denials included; actions/other states/native remain untested unless separately evidenced."
registered-feature,/social/instagram,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{},""administer"":{""rolesAny"":[""Admin"",""Webmaster""],""modulesAll"":[""Admin""]}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""web-only"",""destination"":null,""documentedException"":""Provider OAuth administration is intentionally web only.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"inventoried;runtime coverage pending unless evidence register names exact journey; Operational initial arrival: actual isolated Admin+Customer and Customer sessions, Chromium production bundle320/1280, operational-*-after.json. Denials/redirects recorded per route. Integrated28 affected cases: operational-focused-final.json. Missing local calendar OAuth returns500. Other roles/states/engines/native untested. Manager arrival:198 isolated real-session/PostgreSQL17 cases,320/1280,dbf548172 bundle; zero axe/overflow/pageerror/5xx (evidence/manager-runtime-dbf.json). Other journey states remain separately pending. Additional initial arrival coverage: 19 role fixtures x320/1280 Chromium es-EC, actual isolated session/API; see evidence/remaining-role-arrivals.json. Denials included; actions/other states/native remain untested unless separately evidenced."
registered-feature,social.vcard,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{},""view"":{},""create"":{""recordScope"":""authenticated-party""}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""native"",""destination"":""/(tabs)/vcard"",""documentedException"":""On web, vCard exchange is contextual inside Connections.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,inventoried;runtime coverage pending unless evidence register names exact journey
registered-feature,/social/inbox,tdf-hq/assets/feature-registry.json,"{""auth"":""authenticated"",""permissions"":{""discover"":{""rolesAny"":[""Admin"",""Manager"",""StudioManager"",""Reception"",""LiveSessionsProducer"",""Producer"",""AandR"",""Webmaster""],""modulesAll"":[""CRM""]},""view"":{""rolesAny"":[""Admin"",""Manager"",""StudioManager"",""Reception"",""LiveSessionsProducer"",""Producer"",""AandR"",""Webmaster""],""modulesAll"":[""CRM""]},""create"":{""rolesAny"":[""Admin"",""Manager"",""StudioManager"",""Reception"",""LiveSessionsProducer"",""Producer"",""AandR"",""Webmaster""],""modulesAll"":[""CRM""]}},""scope"":""none"",""flag"":null,""mobile"":{""kind"":""web-only"",""destination"":null,""documentedException"":""Provider message administration requires the wider web workspace.""}}",desktop;tablet;phone;native-where-mapped,es;en,loading;empty;validation;denied;expired-session;cancel;slow;interrupted;retry;recovery;return;deep-link;partial-progress,"inventoried;runtime coverage pending unless evidence register names exact journey; Operational initial arrival: actual isolated Admin+Customer and Customer sessions, Chromium production bundle320/1280, operational-*-after.json. Denials/redirects recorded per route. Integrated28 affected cases: operational-focused-final.json. Missing local calendar OAuth returns500. Other roles/states/engines/native untested. Manager arrival:198 isolated real-session/PostgreSQL17 cases,320/1280,dbf548172 bundle; zero axe/overflow/pageerror/5xx (evidence/manager-runtime-dbf.json). Other journey states remain separately pending. Additional initial arrival coverage: 19 role fixtures x320/1280 Chromium es-EC, actual isolated session/API; see evidence/remaining-role-arrivals.json. Denials included; actions/other states/native remain untested unless separately evidenced."
